"District";"PM10";"PM25"
"Mitte";22,9629305865021;15,197187054827
"Friedrichshain-Kreuzberg";22,624198875135;15,4960897905467
"Pankow";21,4246563177189;14,3225286232364
"Lichtenberg";21,3210885636895;14,7106397110752
"Tempelhof-Schoeneberg";21,1825967908693;14,7527290606535
"Charlottenburg-Wilmersdorf";20,712205171512;14,1582643891117
"Marzahn-Hellersdorf";20,7113584813409;14,5001484859114
"Neukoelln";20,5261175915141;14,629908850937
"Treptow-Koepenick";19,4451868028504;13,852199381338
"Steglitz-Zehlendorf";19,381907019491;13,7196458939604
"Reinickendorf";18,9309887066434;13,0709341394573
"Spandau";18,778350041141;13,0503162712562
