District;Sub-district 
Charlottenburg-Wilmersdorf;Charlottenburg
Charlottenburg-Wilmersdorf;Charlottenburg-Nord
Charlottenburg-Wilmersdorf;Grunewald
Charlottenburg-Wilmersdorf;Halensee
Charlottenburg-Wilmersdorf;Schmargendorf
Charlottenburg-Wilmersdorf;Westend
Charlottenburg-Wilmersdorf;Wilmersdorf
Friedrichshain-Kreuzberg;Friedrichshain
Friedrichshain-Kreuzberg;Kreuzberg
Lichtenberg;Alt-Hohenschoenhausen
Lichtenberg;Falkenberg
Lichtenberg;Fennpfuhl
Lichtenberg;Friedrichsfelde
Lichtenberg;Karlshorst
Lichtenberg;Lichtenberg
Lichtenberg;Malchow
Lichtenberg;Neu-Hohenschoenhausen
Lichtenberg;Rummelsburg
Lichtenberg;Wartenberg
Marzahn-Hellersdorf;Biesdorf
Marzahn-Hellersdorf;Hellersdorf
Marzahn-Hellersdorf;Kaulsdorf
Marzahn-Hellersdorf;Mahlsdorf
Marzahn-Hellersdorf;Marzahn
Mitte;Gesundbrunnen
Mitte;Hansaviertel
Mitte;Mitte
Mitte;Moabit
Mitte;Tiergarten
Mitte;Wedding
Neukoelln;Britz
Neukoelln;Buckow
Neukoelln;Gropiusstadt
Neukoelln;Neukoelln
Neukoelln;Rudow
Pankow;Blankenburg
Pankow;Blankenfelde
Pankow;Buch
Pankow;Franzoesisch-Buchholz
Pankow;Heinersdorf
Pankow;Karow
Pankow;Niederschoenhausen
Pankow;Pankow
Pankow;Prenzlauer-Berg
Pankow;Rosenthal
Pankow;Stadtrandsiedlung-Malchow
Pankow;Weissensee
Pankow;Wilhelmsruh
Reinickendorf;Borsigwalde
Reinickendorf;Frohnau
Reinickendorf;Heiligensee
Reinickendorf;Hermsdorf
Reinickendorf;Konradshoehe
Reinickendorf;Luebars
Reinickendorf;Maerkisches-Viertel
Reinickendorf;Reinickendorf
Reinickendorf;Tegel
Reinickendorf;Waidmannslust
Reinickendorf;Wittenau
Spandau;Falkenhagener-Feld
Spandau;Gatow
Spandau;Hakenfelde
Spandau;Haselhorst
Spandau;Kladow
Spandau;Siemensstadt
Spandau;Spandau
Spandau;Staaken
Spandau;Wilhelmstadt
Steglitz-Zehlendorf;Dahlem
Steglitz-Zehlendorf;Lankwitz
Steglitz-Zehlendorf;Lichterfelde
Steglitz-Zehlendorf;Nikolassee
Steglitz-Zehlendorf;Steglitz
Steglitz-Zehlendorf;Wannsee
Steglitz-Zehlendorf;Zehlendorf
Tempelhof-Schoeneberg;Friedenau
Tempelhof-Schoeneberg;Lichtenrade
Tempelhof-Schoeneberg;Mariendorf
Tempelhof-Schoeneberg;Marienfelde
Tempelhof-Schoeneberg;Schoeneberg
Tempelhof-Schoeneberg;Tempelhof
Treptow-Koepenick;Adlershof
Treptow-Koepenick;Alt-Treptow
Treptow-Koepenick;Altglienicke
Treptow-Koepenick;Baumschulenweg
Treptow-Koepenick;Bohnsdorf
Treptow-Koepenick;Friedrichshagen
Treptow-Koepenick;Gruenau
Treptow-Koepenick;Johannisthal
Treptow-Koepenick;Koepenick
Treptow-Koepenick;Mueggelheim
Treptow-Koepenick;Niederschoeneweide
Treptow-Koepenick;Oberschoeneweide
Treptow-Koepenick;Plaenterwald
Treptow-Koepenick;Rahnsdorf
Treptow-Koepenick;Schmoeckwitz
