old;new
Abschnittsnummer (ID);Nr
Name des Strassenabschnittes;Street
Laenge des Strassenabschnittes [m];Length
Durchschnittliche taegliche Verkehrsstaerke (DTV) Kfz 2015;KFZ_daily
NO2-Belastung (berechnetes Jahresmittel [µg/m³]) 2015;NO2_yearly
PM10-Belastung (berechnetes Jahresmittel [µg/m³]) 2015;PM10_yearly
PM25-Belastung (berechnetes Jahresmittel [µg/m³]) 2015;PM25_yearly
Index der Luftbelastung fuer NO2 bezogen auf 2015;NO2_index
Index der Luftbelastung fuer PM10 bezogen auf 2015;PM10_index
Gesamtindex der Luftbelastung fuer NO2 und PM10 bezogen auf 2015;Index_overal
