"";"district";"PM10";"PM25"
"1";"Charlottenburg-Wilmersdorf";20,8816238547836;14,2858878133329
"2";"Friedrichshain-Kreuzberg";22,3931181351776;15,4029918151628
"3";"Lichtenberg";21,1523887712689;14,6285722688542
"4";"Marzahn-Hellersdorf";20,4706373359083;14,3812769317538
"5";"Mitte";23,1332740832172;15,2550069545238
"6";"Neukoelln";20,7948530926873;14,7942410709081
"7";"Pankow";21,4569441191063;14,4590208758967
"8";"Reinickendorf";19,2184970585402;13,2292890750041
"9";"Spandau";18,9774130330085;13,161790757976
"10";"Steglitz-Zehlendorf";20,129725986324;14,1270942204629
"11";"Tempelhof-Schoeneberg";21,0906694819093;14,7174272565744
"12";"Treptow-Koepenick";19,8562536862125;14,0329871723152
