"";"District";"Phy1In";"Phy2In";"SocIn";"EcoIn";"EnvIn";"PhyPl";"SocPl";"EcoPl";"EnvPl";"TotalIn"
"1";"Charlottenburg-Wilmersdorf";3,1307743072667;2,18666396028878;7,95114313127971;2,61280786672726;2,47296882548738;0,641077024769986;1,98778578281993;0,653201966681815;0,618242206371846;3,90030698064358
"2";"Friedrichshain-Kreuzberg";1,67991144377061;2,80852745116107;8,4568864222585;2,24843079592744;1,36673738601626;0,589270262051222;2,11422160556462;0,56210769898186;0,341684346504066;3,60728391310177
"3";"Lichtenberg";2,19707819612455;1,37895896035549;7,84070612500432;0,57575783315988;2,79365216961851;0,426551663665778;1,96017653125108;0,14393945828997;0,698413042404627;3,22908069561145
"4";"Marzahn-Hellersdorf";2,04108086761453;1,18602626501239;5,70378366203155;0,211090783456023;2,40984962475642;0,382012026513311;1,42594591550789;0,0527726958640058;0,602462406189105;2,46319304407431
"5";"Mitte";1,68919251107611;3,80725276644709;7,91507226260229;3,47070418155679;1,46691966199123;0,740007166074674;1,97876806565057;0,867676045389196;0,366729915497807;3,95318119261225
"6";"Neukolln";1,24286356329045;1,39348580149248;5,12750993374999;1,01180752327396;2,02645623792943;0,333309226552916;1,2818774834375;0,252951880818489;0,506614059482358;2,37475265029126
"7";"Pankow";2,44779266774196;1,16412300795053;6,53109086094682;2,75301225600699;2,62607161096676;0,419397717966776;1,6327727152367;0,688253064001748;0,656517902741689;3,39694139994692
"8";"Reinickendorf";2,13368120200805;1,00687204168121;6,39594777342625;0,421288640151108;3,23689286959941;0,364398926452986;1,59898694335656;0,105322160037777;0,809223217399853;2,87793124724718
"9";"Spandau";1,92817692021315;0,480695411618353;6,78990754185214;0,0636151196952804;2,85479377796029;0,264922003764068;1,69747688546303;0,0159037799238201;0,713698444490071;2,69200111364099
"10";"Steglitz-Zehlendorf";2,67776846856072;0,684984803053033;6,71985231663699;1,49452510372024;2,60610908302804;0,370524567314027;1,67996307915925;0,373631275930061;0,65152727075701;3,07564619316035
"11";"Tempelhof-Schoneberg";1,87266437032913;1,46162675572933;6,61073595140655;2,02704965839695;1,82937435485211;0,406510450392313;1,65268398785164;0,506762414599237;0,457343588713029;3,02330044155622
"12";"Treptow-Kopenick";2,75640635299957;0,687321795068184;5,47690960812276;1,06741848188023;1,70143875900145;0,378738904560185;1,36922740203069;0,266854620470058;0,425359689750363;2,4401806168113
