"","dis","unweighted Index","Full Score","Index+ weighted Index","weigted Index"
"1","Charlottenburg-Wilmersdorf","1","1","2","2"
"2","Friedrichshain-Kreuzberg","1","1","2","2"
"3","Lichtenberg","2","2","1","1"
"4","Marzahn-Hellersdorf","2","2","1","1"
"5","Mitte","1","1","2","2"
"6","Neukolln","2","2","1","1"
"7","Pankow","1","2","2","2"
"8","Reinickendorf","2","2","1","1"
"9","Spandau","2","2","1","1"
"10","Steglitz-Zehlendorf","2","2","1","1"
"11","Tempelhof-Schoneberg","1","2","2","2"
"12","Treptow-Kopenick","2","2","1","1"
